39,2021,Fall,Mellon College of Science,BSC,3327,A,DURAND, M,EVOL BIOINFORMATICS,Undergraduate,8,3,4.0,4.33
40,2021,Fall,Mellon College of Science,BSC,3343,1,MCGUIER, NATALIE,EXP TECHN MOL BIOLGY,Undergraduate,37,17,4.13,4.13
41,2021,Fall,Mellon College of Science,BSC,3343,X,VINCENT, ANNETTE,EXP TECHN MOL BIOLGY,Undergraduate,9,3,4.0,3.33
42,2021,Fall,Mellon College of Science,BSC,3343,1,DRILL, EMILY,EXP TECHN MOL BIOLGY,Undergraduate,37,17,4.47,4.18
43,2021,Fall,Mellon College of Science,BSC,3343,1,DOONAN, CARRIE,EXP TECHN MOL BIOLGY,Undergraduate,37,17,4.35,4.12
44,2021,Fall,Mellon College of Science,BSC,3343,W,VINCENT, ANNETTE,EXP TECHN MOL BIOLGY,Undergraduate,12,4,2.5,2.25
45,2021,Fall,Mellon College of Science,BSC,3360,A,PFENNING, ANDREAS,GENOM EPIGEN BRN,Undergraduate,3,1,4.0,1.7514
46,2021,Fall,Mellon College of Science,BSC,3362,A,GITTIS, ARYN,CELLULAR NEUROSCIENC,Undergraduate,35,24,4.13,4.13
47,2021,Fall,Mellon College of Science,BSC,3366,A,HONG, KATE,NEUROPHARMACOLOGY,Undergraduate,25,20,4.5,4.65
48,2021,Fall,Mellon College of Science,BSC,3380,W,YOUNIS, IHAB,VIROLOGY,Undergraduate,12,5,5.0,5.0
49,2021,Fall,Mellon College of Science,BSC,3410,W,RULE, GORDON,SP TPCS IN BIOLOGY,Undergraduate,12,5,5.0,5.0
50,2021,Fall,Mellon College of Science,BSC,3410,1,DRILL, EMILY,SP TPCS IN BIOLOGY,Undergraduate,3,2,5.0,5.0
51,2021,Fall,Mellon College of Science,BSC,3410,1,DOONAN, CARRIE,SP TPCS IN BIOLOGY,Undergraduate,3,2,5.0,5.0
52,2021,Fall,Mellon College of Science,BSC,3410,1,MCGUIER, NATALIE,SP TPCS IN BIOLOGY,Undergraduate,3,2,5.0,5.0
53,2021,Fall,Mellon College of Science,BSC,3435,A,ZHAO, YONGXIN,CANCER BIOLOGY,Undergraduate,16,10,3.89,4.0
54,2021,Fall,Mellon College of Science,BSC,3442,A,WOOLFORD, JOHN,MOLECULAR BIOLOGY,Undergraduate,11,5,5.0,5.0
55,2021,Fall,Mellon College of Science,BSC,3442,W,YOUNIS, IHAB,MOLECULAR BIOLOGY,Undergraduate,12,3,5.0,4.67
56,2021,Fall,Mellon College of Science,BSC,3451,A,ETTENSOHN, CHARLES,ADV DEV BIO HUM HLTH,Undergraduate,4,3,4.33,4.67
57,2021,Fall,Mellon College of Science,BSC,3451,A,MCCARTNEY, BROOKE,ADV DEV BIO HUM HLTH,Undergraduate,4,3,4.33,4.33
58,2021,Fall,Mellon College of Science,BSC,3642,A,WOOLFORD, JOHN,GRAD MOL BIOLOGY,Graduate,6,2,4.5,5.0
59,2021,Fall,Mellon College of Science,BSC,3701,A1,KUHLMAN, SANDRA,STAT CMPTNG BSC,Graduate,6,2,2.0,2.5
60,2021,Fall,Mellon College of Science,BSC,3702,A2,KUHLMAN, SANDRA,DATA ANALYSIS BSC,Graduate,5,4,3.5,2.75
61,2021,Fall,Mellon College of Science,BSC,3709,A,BRASIER, DANIEL,APP CELL MOLC BIOLGY,Graduate,40,39,4.77,4.74
62,2021,Fall,Mellon College of Science,BSC,3709,B,BRASIER, DANIEL,APP CELL MOLC BIOLGY,Graduate,2,2,4.5,4.5
63,2021,Fall,Mellon College of Science,BSC,3711,A,DURAND, M,GENOMICS & MOLEC BIO,Graduate,15,10,4.9,4.8
64,2021,Fall,Mellon College of Science,BSC,3727,A,DURAND, M,EVOL BIOINFORMATICS,Graduate,10,6,4.5,4.33
65,2021,Fall,Mellon College of Science,BSC,3737,A1,ZHAO, YONGXIN,BIOSENSORS,Graduate,21,17,4.71,4.53
66,2021,Fall,Mellon College of Science,BSC,3738,A2,ZHANG, HUAIYING,SYNTHETIC BIOLOGY,Graduate,17,11,4.64,4.73
67,2021,Fall,Mellon College of Science,BSC,3742,1,WOOLFORD, JOHN,ADV MOLECULAR BIO,Graduate,6,4,5.0,5.0
68,2021,Fall,Mellon College of Science,BSC,3747,A1,BARTH, ALISON,PPSL PREP PEER REV,Graduate,10,5,4.8,4.8
